00008,r6k/pp2r2p/4Rp1Q/3p4/8/1N1P2R1/PqP2bPP/7K b - - 0 24,f2g3 e6e7 b2b1 b3c1 b1c1 h6c1,1910,74,97,1060,crushing hangingPiece long middlegame,https://lichess.org/787zsVup/black#48
0000D,5rk1/1p3ppp/pq3b2/8/8/1P1Q1N2/P4PPP/3R2K1 w - - 2 27,d3d6 f8d8 d6d8 f6d8,1424,74,97,11288,advantage endgame short,https://lichess.org/F8M8OS71#53
0009B,r2qr1k1/b1p2ppp/pp4n1/P1P1p3/4P1n1/B2P2Pb/3NBP1P/RN1QR1K1 b - - 1 16,b6c5 e2g4 h3g4 d1g4,1088,75,85,505,advantage middlegame short,https://lichess.org/4MWQCxQ6/black#32
000aY,r4rk1/pp3ppp/2n1b3/q1pp2B1/8/P1Q2NP1/1PP1PP1P/2KR3R w - - 0 15,g5e7 a5c3 b2c3 c6e7,1303,75,89,425,advantage master middlegame short,https://lichess.org/iihZGl6t#29
000hf,r1bqk2r/pp1nbNp1/2p1p2p/8/2BP4/1PN3P1/P3QP1P/3R1RK1 b kq - 0 19,e8f7 e2e6 f7f8 e6f7,1588,77,88,447,mate mateIn2 middlegame short,https://lichess.org/71ygsFeE/black#38
000rO,3R4/8/K7/pB2b3/1p6/1P2k3/3p4/8 w - - 4 58,a6a5 e5c7 a5b4 c7d8,1039,80,85,54,crushing endgame fork short,https://lichess.org/tzeeBEc2#115
000tp,4r3/5pk1/1p3np1/3p3p/2qQ4/P4N1P/1P3RP1/7K w - - 6 34,d4b6 f6e4 h1g1 e4f2,2053,75,81,106,crushing endgame short trappedPiece,https://lichess.org/GeXqsW90#67
00143,r2q1rk1/5ppp/1np5/p1b5/2p1B3/P7/1P3PPP/R1BQ1RK1 b - - 1 17,d8f6 d1h5 h7h6 h5c5,1828,74,90,1445,advantage middlegame short,https://lichess.org/jcuxlI63/black#34
0018S,2kr3r/pp3p2/4p2p/1N1p2p1/3Q4/1P1P4/2q2PPP/5RK1 b - - 1 20,b7b6 d4a1 a7a5 f1c1,2515,80,91,1049,advantage endgame pin short,https://lichess.org/H1ARO2GL/black#40
001Wz,4r1k1/5ppp/r1p5/p1n1RP2/8/2P2N1P/2P3P1/3R2K1 b - - 0 21,e8e5 d1d8 e5e8 d8e8,1128,81,87,54,backRankMate endgame mate mateIn2 short,https://lichess.org/84RH3LaP/black#42
001gi,r6r/1pNk1ppp/2np4/b3p3/4P1b1/N1Q5/P4PPP/R3KB1R w KQ - 3 18,c7a8 a5c3,1093,191,44,87,bodenMate hangingPiece mate mateIn1 middlegame oneMove,https://lichess.org/1sV2Hr22#35
001om,5r1k/pp4pp/5p2/1BbQp1r1/6K1/7P/1PP3P1/3R3R w - - 2 26,g4h4 c5f2 g2g3 f2g3,991,78,89,215,mate mateIn2 middlegame short,https://lichess.org/VWOIWtIh#51
001u3,2r3k1/p1q2pp1/Q3p2p/b1Np4/2nP1P2/4P1P1/5K1P/2B1N3 b - - 3 33,c7b6 a6c8 g8h7 c8b7,2162,81,54,68,advantage hangingPiece middlegame short,https://lichess.org/BBn6ipaK/black#66
001wr,r4rk1/p3ppbp/Pp1q1np1/3PpbB1/2B5/2N5/1PPQ1PPP/3RR1K1 w - - 4 18,f2f3 d6c5 g1h1 c5c4,995,75,100,715,advantage fork master masterVsMaster middlegame short,https://lichess.org/KnJ2mojX#35
001xO,k1r1b3/p1r1nppp/1p1qpn2/2Np4/1P1P4/PQRBPN2/5PPP/2R3K1 w - - 0 19,d3a6 b6c5 a6c8 c5c4,1902,74,100,256,crushing master masterVsMaster middlegame sacrifice short,https://lichess.org/fNCePFgY#37
001xl,8/4R1k1/p5pp/3B4/5q2/8/5P1P/6K1 b - - 5 40,g7f6 e7f7 f6e5 f7f4,1260,75,97,6274,advantage endgame master masterVsMaster short skewer superGM,https://lichess.org/bEQkfPQD/black#80
00206,r3kb1r/pppqpn1p/5p2/3p1bpQ/2PP4/4P1B1/PP3PPP/RN2KB1R w KQkq - 1 11,b1c3 f5g4 h5g4 d7g4,1589,74,96,10600,advantage opening short trappedPiece,https://lichess.org/MbJRo6PT#21
002Cw,r7/2p2r1k/p2p1q1p/Pp1P4/1P2P3/2PQ4/6R1/R5K1 b - - 2 28,f7g7 e4e5 f6g6 g2g6,1076,80,95,637,crushing discoveredAttack endgame short,https://lichess.org/lxiSa85s/black#56
002E4,8/8/kpq5/p4pQp/P7/7P/3r2P1/4R2K b - - 10 48,c6a4 g5d2,974,92,18,38,crushing endgame hangingPiece oneMove,https://lichess.org/JwMca3Nw/black#96
002IE,r3brk1/5pp1/p1nqpn1p/P2pN3/2pP4/2P1PN2/5PPP/RB1QK2R b KQ - 4 16,c6e5 d4e5 d6e7 e5f6,1335,103,47,18,advantage fork middlegame short,https://lichess.org/fDwvVUIp/black#32
